"INDEX_NAME"	"INDEX_REGION"	"LAT"	"LONG"	"LAKECODE"	"SAMPLEID"	"COLLDATE"	"COLLMETH"	"TAXAID"	"N_TAXA"	"EXCLUDE"	"NONTARGET"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"GENUS"	"TOLVAL"	"FFG"	"HABIT"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"CRYPTOCHIRONOMUS"	34	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chironominae"	"Chironomini"	"Cryptochironomus"	8	"PR"	"SP"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"CULICOIDES"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Ceratopogonidae"	"Ceratopogoninae"	"Culicoidini"	"Culicoides"	5	"PR"	"BU"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"DASYHELEA"	8.333333333	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Ceratopogonidae"	"Dasyheleinae"	""	"Dasyhelea"	5	"CG"	"SP"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"DICROTENDIPES MODESTUS"	20.33333333	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chironominae"	"Chironomini"	"Dicrotendipes"	6	"CG"	""
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"DUBIRAPHIA"	341.6666667	FALSE	FALSE	"Arthropoda"	"Insecta"	"Coleoptera"	"Elmidae"	""	""	"Dubiraphia"	5	"CG"	"CN"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"EINFELDIA"	15	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chironominae"	"Chironomini"	"Einfeldia"	10	"CG"	"BU"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"ENALLAGMA"	72	FALSE	FALSE	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	""	""	"Enallagma"	6	"PR"	"CB"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"ENDOCHIRONOMUS"	14	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chironominae"	"Chironomini"	"Endochironomus"	6	"SH"	"CN"
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"EPICORDULIA"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Odonata"	"Corduliidae"	""	""	"EPICORDULIA"	4.5	"PR"	""
"IEPA_2021_Bugs"	"South"	37.68746333	-88.38813333	"RAF"	"RAF_9/24/2015"	"9/24/2015"	"LittoralABC"	"ERYTHEMIS"	4	FALSE	FALSE	"Arthropoda"	"Insecta"	"Odonata"	"Libellulidae"	""	""	"Erythemis"	5	"PR"	"CB, SP"
